Nasdaq Traded,symbol,securityName,listingExchange,marketCategory,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N
Y,AAAU,Perth Mint Physical Gold ETF,P, ,Y,100.0,N,,AAAU,AAAU,N
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100.0,N,N,,AACG,N
Y,AADR,AdvisorShares Dorsey Wright ADR ETF,P, ,Y,100.0,N,,AADR,AADR,N
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N
Y,AAMC,Altisource Asset Management Corp Com,A, ,N,100.0,N,,AAMC,AAMC,N
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,N,,AAME,N
Y,AAN,"Aaron's, Inc. Common Stock",N, ,N,100.0,N,,AAN,AAN,N
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,,AAP,AAP,N
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,,AAT,AAT,N
Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,,AAU,AAU,N
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100.0,N,N,,AAWW,N
Y,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,Y,100.0,N,N,,AAXJ,N
Y,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAXN,N
Y,AB,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N
Y,ABB,ABB Ltd Common Stock,N, ,N,100.0,N,,ABB,ABB,N
Y,ABBV,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N
Y,ABC,AmerisourceBergen Corporation Common Stock,N, ,N,100.0,N,,ABC,ABC,N
Y,ABCB,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N
Y,ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,ABEO,N
Y,ABEQ,Absolute Core Strategy ETF,P, ,Y,100.0,N,,ABEQ,ABEQ,N
Y,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N
Y,ABG,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N
Y,ABIO,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,ABIO,N
Y,ABM,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N
Y,ABMD,"ABIOMED, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ABMD,N
Y,ABR,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N
Y,ABT,Abbott Laboratories Common Stock,N, ,N,100.0,N,,ABT,ABT,N
Y,ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,G,N,100.0,N,N,,ABTX,N
Y,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,Q,N,100.0,N,N,,ABUS,N
